name;country;iata;city
Newcastle, Nevis Islan;Saint Kitts &;NEV;Charlestown
Lakefront, LA;USA;NEW;New Orleans
Detroit NAF, MI;USA;NFB;Mount Clemens
Nefteyugansk;Russia (CIS);NFG;
Fallon NAS (Van Voorhis Fie;USA;NFL;Fallon
Mata'Aho;Tonga;NFO;Niuafo'Ou
Nafoora;Libya;NFR;
Young, NS;Australia;NGA;
Ningbo Lishe Intl;China;NGB;Ningbo
North Rim, AZ;USA;NGC;Grand Canyon
Anegada;Virgin Islands;NGD;
N'Gaoundere;Cameroon;NGE;
Ngau Island;Fiji;NGI;
Nogliki Airport;;NGK;Sakhalin Oblast
Ngala;South Africa;NGL;
Agana NAS (Brewer Field);Guam;NGM;Guam
Nargana;Panama;NGN;
Nagoya Chubu Centrair;Japan;NGO;Nagoya
Corpus Christi NAS;USA;NGP;Corpus Christi
Ningerum;Papua New Guin;NGR;
NAGASAKI;Japan;NGS;Nagasaki
Norfolk;USA;NGU;Norfolk
N'Giva;Angola;NGV;
Cabaniss Field, TX;USA;NGW;Corpus Christi
Manang;Nepal;NGX;
Alameda NAS (Nimitz Field);USA;NGZ;Alameda
Nhatrang;Vietnam;NHA;
Minhad AB;United Arab Emirates (the);NHD;Dubai
New Halfa;Sudan;NHF;
Patuxent River NAS,;USA;NHK;Patuxent River
Nushki;Pakistan;NHS;
Northolt;United Kingdom of Great Britain and Northern Ireland;NHT;Northolt
Nuku Hiva, MA;French Polynes;NHV;
Barin Olf Osn, AL;USA;NHX;Foley
Brunswick Main;USA;NHZ;Brunswick Main
Lamco;Liberia;NIA;Nimba
Nikolai, AK;USA;NIB;
Nicosia;Cyprus;NIC;Nicosia
Niblack, AK;USA;NIE;
Nifty, WA;Australia;NIF;
Nikunau;Kiribati;NIG;
Niokolo Koba;Senegal;NIK;
Niamey;Niger;NIM;Niamey
Ninilchik, AK;USA;NIN;
Nioki;Congo (the Democratic Republic of the);NIO;
Jacksonville NAS (Tow;USA;NIP;Jacksonville
Chase Field (NAS), TX;USA;NIR;Beeville
Niort;France;NIT;Niort
Nioro;Mali;NIX;
NAS;Japan;NJA;Atsugi
Nizhnevartovsk;Russia (CIS);NJC;Nizhnevartovsk
El Centro NAS, CA;USA;NJK;El Centro
Nkan;Gabon;NKA;
Noonkanbah, WA;Australia;NKB;
Nouakchott;Mauritania;NKC;Nouakchott
Sinak, IJ;Indonesia;NKD;
NANJING/NANK;China;NKG;Nanjing/Nanking
Naukiti, AK;USA;NKI;
Nkolo-Fuma;Congo (the Democratic Republic of the);NKL;
Nagoya Komaki Airport;Japan;NKM;Nagoya
Nankina;Papua New Guin;NKN;
N'Kongsamba;Cameroon;NKS;
Cherry Point;USA;NKT;Cherry Point
Nkaus;Lesotho;NKU;
Nichen Cove, AK;USA;NKV;
Diego Garcia;British Indian Ocean Territory (the);NKW;Diego Garcia
Miramar;USA;NKX;san diego/miramar na
Yokangassi;Congo (the);NKY;N'Kayi
NDOLA;Zambia;NLA;Ndola
Lemoore NAS (Reeves Field);USA;NLC;Lemoore
Quetzalcoatl Int'l;Mexico;NLD;Nuevo Laredo
Jerry Tyler Memorial, MI;USA;NLE;Niles
Darnley Island, QL;Australia;NLF;
Nelson Lagoon, AK;USA;NLG;Nelson Lagoon
Norfolk Island;Norfolk Island;NLK;Norfolk Island
Nullagine, WA;Australia;NLL;
N'Dolo;Congo (the Democratic Republic of the);NLO;Kinshasa
Nelspruit;South Africa;NLP;
Nicholson, WA;Australia;NLS;
Felipe Angeles Intl;Mexico;NLU;Mexico City
Nikolaev;Ukraine;NLV;Nikolaev
Namangan;Uzbekistan;NMA;
Daman;India;NMB;
Norman's Cay, Exuma Island;Bahamas;NMC;
Nightmute, AK;USA;NME;
Maafaru International Airport;;NMF;Maafaru
San Miguel;Panama;NMG;
Mumbai;India;NMI;Mumbai
Nomane;Papua New Guin;NMN;
New Moon, QL;Australia;NMP;
Nappa Merry, QL;Australia;NMR;
Namsang;Myanmar;NMS;
Namtu;Myanmar;NMT;
Namu;Marshall Islan;NMU;
Kenitra;Morocco;NNA;Kenitra
Santa Ana;Solomon Island;NNB;
Nangade;Mozambique;NND;
Wuxu;China;NNG;Nanning
Namutoni;Namibia;NNI;
Naknek, AK;USA;NNK;
Nondalton, AK;USA;NNL;
Naryan-Mar;Russia (CIS);NNM;
Spiddal;Ireland;NNR;Connemara
Ban Pua;Thailand;NNT;Nan
Nanuque, MG;Brazil;NNU;
Nunukan;Indonesia;NNX;
Nanyang;China;NNY;
RAN, NS;Australia;NOA;Nowra
Nosara Beach;Costa Rica;NOB;
Knock;Ireland;NOC;Knock
Norden-Hage;Germany;NOD;
Norddeich;Germany;NOE;Norden
Int'l;Mexico;NOG;Nogales
NAS, IL;USA;NOH;Chicago
Novorossijsk;Russia (CIS);NOI;
Nojabrxsk;Russia (CIS);NOJ;
Nova Xavantina, MT;Brazil;NOK;
Nakolik River, AK;USA;NOL;
Nomad River;Papua New Guin;NOM;
Nonouti;Kiribati;NON;
Naoro;Papua New Guin;NOO;
Nab;Philippines;NOP;Mactan Island
Nordfjordur;Iceland;NOR;
Fascene;Madagascar;NOS;Nosy-Be
Novato, CA;USA;NOT;
Noumea;French Polynesia;NOU;Noumea
Huambo;Angola;NOV;
Novokuznetsk;Russia (CIS);NOZ;
Pensacola NAS (Forrest S;USA;NPA;Pensacola
Hawkes Bay;New Zealand;NPE;Napier-Hastings
Nipa;Papua New Guin;NPG;
Nephi, UT;USA;NPH;
New Plymouth;New Zealand;NPL;
Nangapinoh;Indonesia;NPO;
Napperby, NT;Australia;NPP;
State, RI;USA;NPT;Newport
San Pedro Uraba;Colombia;NPU;
Memphis NAS, TN;USA;NQA;Memphis
Kingsville NAS, TX;USA;NQI;Kingsville
Niquelandia, GO;Brazil;NQL;
Neuquen, NE;Argentina;NQN;
Nuqui, CH;Colombia;NQU;
Key West NAS (Boca Chica;USA;NQX;Key West
Newquay Cornwall;United Kingdom of Great Britain and Northern Ireland;NQY;St. Newquay
Nursultan Nazarbayev Int;Kazakhstan;NQZ;Astana
Narrandera, NS;Australia;NRA;
Mayport NAS, FL;USA;NRB;Mayport
Auxiliary Field, CA;USA;NRC;Crows Landing
Norderney;Germany;NRD;Norderney
Namrole;Indonesia;NRE;
Narrogin, WA;Australia;NRG;
Shangri-La, OK;USA;NRI;Afton
Norrkoping;Sweden;NRK;Norrkoping
North Ronaldsway (Orkneys);United Kingdom of Great Britain and Northern Ireland;NRL;
Keibane;Mali;NRM;Nara
Niederrein;Germany;NRN;Niederrein
N'Riquinha;Angola;NRQ;
NAS;Puerto Rico;NRR;Roosevelt Roads
Imperial Beach NAS;USA;NRS;Imperial Beach
Tokyo;Japan;NRT;Tokyo
USCG Shore Station;Guam;NRV;Guam
Newry, NT;Australia;NRY;
Noosa, QL;Australia;NSA;
North SPB;Bahamas;NSB;Bimini
Whiting Field NAS, FL;USA;NSE;Milton
Andrews NAF, MD;USA;NSF;Camp Springs
Noshahr;Iran;NSH;
Nsimalen;Cameroon;NSI;Yaounde
Norilsk;Russia (CIS);NSK;
Norseman, WA;Australia;NSM;
NELSON;New Zealand;NSN;Nelson
Scone, NS;Australia;NSO;
Sangley Point, CV;Philippines;NSP;
Nakhon Si Thammarat;Thailand;NST;
Noosaville, QL;Australia;NSV;
SIGONELLA;Italy;NSY;SIGONELLA
Natadola;Fiji;NTA;
Notodden;Norway;NTB;
Santa Carolina;Mozambique;NTC;
Point Mugu NAS, CA;USA;NTD;Port Hueneme
Nantes;France;NTE;Nantes
Nantong;China;NTG;
Bintuni;Indonesia;NTI;
Manti-Ephraim, UT;USA;NTJ;Manti
Williamtown, NS;Australia;NTL;Newcastle
Miracema do Norte, TO;Brazil;NTM;
Normanton, QL;Australia;NTN;
Agostinho Neto;Cape Verde;NTO;Santo Antao
Aeropuerto del Norte;Mexico;NTR;Monterrey
Niuatoputapu;Tonga;NTT;
Oceana;USA;NTU;Oceana
Natuna Ranai;Indonesia;NTX;
Pilansberg;South Africa;NTY;Sun City
Numbulwar, NT;Australia;NUB;
Nuremberg;Germany;NUE;N�rnberg
Nuguria;Papua New Guin;NUG;
Nunchia;Colombia;NUH;
Nuiqsut, AK;USA;NUI;
Nukutavake, TU;French Polynes;NUK;
Nulato, AK;USA;NUL;
Neom Airport;Saudi Arabia;NUM;Neom Airport
Saufley NAS, FL;USA;NUN;Pensacola
Nunapitchuk, AK;USA;NUP;
Moffett Federal Airf;USA;NUQ;Mountain View
Nullarbor, SA;Australia;NUR;
Norsup;Vanuatu;NUS;
Nutuve;Papua New Guin;NUT;
Nakuru;Kenya;NUU;
Whidbey Island NAS, WA;USA;NUW;Oak Harbor
Novy Vasyugan;Russia (CIS);NUX;
La Marguita, HU;Colombia;NVA;Neiva
Nevada, MO;USA;NVD;
Nueva Guinea;Nicaragua;NVG;
Navoiy Airport;Uzbekistan;NVI;Navoiy
Narvik;Norway;NVK;Narvik
Novo Aripuana, AM;Brazil;NVP;
Novgorod;Russia (CIS);NVR;
Nevers;France;NVS;Nevers
Itajai, SC;Brazil;NVT;Navegantes
Neyveli;India;NVY;
Bandaressalam;Comoros;NWA;Moheli
Parlin Field, NH;USA;NWH;Newport
Norwich;United Kingdom of Great Britain and Northern Ireland;NWI;Norwich
NS, NF;Canada;NWP;Argentina
Pier 11-Wall Street Seapl;USA;NWS;New York
Nowata;Papua New Guin;NWT;
Bermuda Nas;Bermuda Islands;NWU;Bermuda Nas
Northwest Sector;The Netherlands;NWX;Northwest Sector
Willow Grove NAS, PA;USA;NXX;Willow Grove
New York;USA;NYC;New York
Nyeri;Kenya;NYE;
Quantico MCAS, VA;USA;NYG;Quantico
Sunyani;Ghana;NYI;
Nanyuki;Kenya;NYK;
Nadym;Russia (CIS);NYM;
Nyngan, NS;Australia;NYN;
Nykoping;Sweden;NYO;Nykoping
Nyaung U;Myanmar;NYU;
Nzagi;Angola;NZA;
Cecil Field NAS, FL;USA;NZC;Jacksonville
Konia;Guinea;NZE;N'Zerekore
Nzoia;Kenya;NZO;
South Weymouth NAS,;USA;NZW;South Weymouth
North Island NAS (Halsey;USA;NZY;San Diego
Springhill, NS;Australia;OAG;Orange
Bagram;Afghanistan;OAI;Bagram
Jacksonville;USA;OAJ;Jacksonville
Oakland;USA;OAK;Oakland
Cacoal;Brazil;OAL;
Oamaru;New Zealand;OAM;
Olanchito;Honduras;OAN;
Fritzsche AAF, CA;USA;OAR;Monterey
Xoxocotlan;Mexico;OAX;Oaxaca
Oban, QL;Australia;OBA;
Obock;Djibouti;OBC;
Obano;Indonesia;OBD;
County, FL;USA;OBE;Okeechobee
Oberpfaffenhofen;Germany;OBF;Oberpfaffenhofen
Tirios, BA;Brazil;OBI;Obidos
Sky Harbour, IL;USA;OBK;Northbrook
AFB;Belgium;OBL;Zoersel
Morobe;Papua New Guin;OBM;
Oban Airport;United Kingdom of Great Britain and Northern Ireland;OBN;Oban
Obihiro;Japan;OBO;
Aubenas-Vals-Lanas;France;OBS;
Coliseum, MD;USA;OBT;Oakland
Wien, AK;USA;OBU;Kobuk
Obo;Central Africa;OBX;
Scoresbysund;Greenland;OBY;Ittoqqortoormiit
Ocean Reef Club, FL;USA;OCA;Key Largo
Coca;Ecuador;OCC;
Municipal, MD;USA;OCE;Ocean City
Taylor Field, FL;USA;OCF;Ocala
A.L. Mangham Regional,;USA;OCH;Nacogdoches
Oceanic, AK;USA;OCI;
Boscobel;Jamaica;OCJ;Ocho Rios
Municipal;USA;OCN;Oceanside00Municipal
Aguas Claras, ST;Colombia;OCV;Ocana
Warren Field, NC;USA;OCW;Washington
Ouadda;Central Africa;ODA;
Cordoba;Spain;ODB;
Oodnadatta, SA;Australia;ODD;
Odense;Denmark;ODE;Odense
Odiham;United Kingdom of Great Britain and Northern Ireland;ODH;Odiham
Ouanda Djalle;Central Africa;ODJ;
Cordillo Downs, SA;Australia;ODL;
Garrett County, MD;USA;ODM;Oakland
Long Seridan;Malaysia;ODN;
Ord River, WA;Australia;ODR;
Odessa;Ukraine;ODS;Odessa
Oak Harbor, WA;USA;ODW;
Oudomsay;Laos;ODY;
O' Neal, IN;USA;OEA;Vincennes
Ocussi;Indonesia;OEC;
Orel;Russia (CIS);OEL;
Vincent Fajks;Surinam;OEM;Paloemeu
Municipal, WI;USA;OEO;Osceola
Ornskoldsvik;Sweden;OER;Ornskoldsvik
San Antonio Oeste, RN;Argentina;OES;
Ouango Fitini;Côte d'Ivoire;OFI;
Olafsfjordur;Iceland;OFJ;
Karl Stefan Field, NE;USA;OFK;Norfolk
Ofu Island;American Samoa;OFU;Ofu Island
Searle Field, NE;USA;OGA;Ogallala
Municipal, SC;USA;OGB;Orangeburg
Hinckley, UT;USA;OGD;Ogden
Ogeranang;Papua New Guin;OGE;
KAHULUI;USA;OGG;Kahului
Ogle;Guyana;OGL;
Yonaguni Jima;Japan;OGN;
Abengourou;Côte d'Ivoire;OGO;
Bongor;Chad;OGR;
Ogdensburg, NY;USA;OGS;
Ongava Game Reserve;Namibia;OGV;
Ouargla;Algeria;OGX;Ouargla
Beslan;Russia (CIS);OGZ;Vladikavkaz
Ohakea;New Zealand;OHA;
AFS, AK;USA;OHC;Northeast Cape
Ohrid;Macedonia;OHD;Ohrid
Oshakati;Namibia;OHI;
Okhotsk;Russia (CIS);OHO;
Heliport;United Kingdom of Great Britain and Northern Ireland;OHP;Oban
Wyk Auf Fohr;Germany;OHR;Wyk Auf Fohr
Kohat;Pakistan;OHT;
Eaton, NY;USA;OIC;Norwich
Splane Memorial, PA;USA;OIL;Oil City
Oshima;Japan;OIM;
Okushiri;Japan;OIR;
OITA;Japan;OIT;Oita
Johnson County Executi;USA;OJC;Kansas City
Okinawa;Japan;OKA;Okinawa
Fraser Island, QL;Australia;OKB;Orchid Beach
Oklahoma City;USA;OKC;Oklahoma City
Okadama;Japan;OKD;Sapporo
Okino Erabu;Japan;OKE;
Okaukuejo;Namibia;OKF;
Okoyo;Congo (the);OKG;
Cottesmore;United Kingdom of Great Britain and Northern Ireland;OKH;Cottesmore
Oki Island;Japan;OKI;
OKAYAMA;Japan;OKJ;Okayama
Kokomo, IN;USA;OKK;
Oksibil;Indonesia;OKL;
Okmulgee, OK;USA;OKM;
Okondja;Gabon;OKN;
Yokota AFB;Japan;OKO;Tokyo
Oksapmin;Papua New Guin;OKP;
Okaba;Indonesia;OKQ;
Yorke Island, QL;Australia;OKR;
Garden County, NE;USA;OKS;Oshkosh
Oktyabrsky;Russia (CIS);OKT;
Mokuti Lodge;Namibia;OKU;
Oakey, QL;Australia;OKY;
Orland;Norway;OLA;Orland
Olbia Italy;Italy;OLB;Olbia
De Witt Field Municipal,;USA;OLD;Old Town
Municipal, NY;USA;OLE;Olean
Municipal, MT;USA;OLF;Wolf Point
SPB, AK;USA;OLH;Old Harbour
Rif;Iceland;OLI;Olafsvik
Lajmoli;Vanuatu;OLJ;Olpoi
Olympia, WA;USA;OLM;
Colonia Sarmiento, CB;Argentina;OLN;
Olomouc;Czech Republic;OLO;Olomouc
Olympic Dam, SA;Australia;OLP;
Olsobip;Papua New Guin;OLQ;
Int'l, AZ;USA;OLS;Nogales
Municipal, NE;USA;OLU;Columbus
Olive Branch, MS;USA;OLV;
Olney, IL;USA;OLY;
Omaha;USA;OMA;Omaha
Hospital;Gabon;OMB;Omboue
Ormoc, LE;Philippines;OMC;
Oranjemund;Namibia;OMD;
Nome, AK;USA;OME;
King Hussein AFB;Jordan;OMF;Mafraq
Omega;Namibia;OMG;
Uromiyeh;Iran;OMH;Uromiyeh
Omura;Japan;OMJ;
Municipal, WA;USA;OMK;Omak
Omkalai;Papua New Guin;OML;
Nasir;Oman;OMM;Marmul
Osmanabad;India;OMN;
Mostar International Airport;Bosnia Herzegovina;OMO;Mostar
ORADEA;Romania;OMR;Oradea
Omsk;Russia (CIS);OMS;
Oddor Meanche;Kampuchea;OMY;
Municipal, MN;USA;ONA;Winona
Ononge;Papua New Guin;ONB;
Ondangwa;Namibia;OND;
Onepusahu;Solomon Island;ONE;
Mornington Island, QL;Australia;ONG;
Municipal, NY;USA;ONH;Oneonta
Moanamani;Indonesia;ONI;
Odate Noshiro;Japan;ONJ;
Municipal, NE;USA;ONL;O' Neill
Socorro, NM;USA;ONM;
Onion Bay, AK;USA;ONN;
Ontario, OR;USA;ONO;
Newport, OR;USA;ONP;
Zonguldak;Türkiye;ONQ;
Monkira, QL;Australia;ONR;
Onslow, WA;Australia;ONS;
Ontario;USA;ONT;Ontario
On-I-Lau;Fiji;ONU;
Enrique A. Jimenex;Panama;ONX;Colon
Olney, TX;USA;ONY;
Municipal, IA;USA;OOA;Oskaloosa
Toksook Bay, AK;USA;OOK;
Gold Coast;Australia;OOL;Gold Coast
Cooma, NS;Australia;OOM;
Mooraberree, QL;Australia;OOR;
Onotoa;Kiribati;OOT;
Kopasker;Iceland;OPA;
Open Bay;Papua New Guin;OPB;
Opa Locka,;USA;OPF;Miami
Oenpelli, NT;Australia;OPI;
St Landry Parish, LA;USA;OPL;Opelousas
Oporto;Portugal;OPO;Oporto
Sinop, MT;Brazil;OPS;
Balimo;Papua New Guin;OPU;
Opuwa;Namibia;OPW;
North Kingston;USA;OQU;North Kingston
Oran, SA;Argentina;ORA;
Orebro;Sweden;ORB;Orebro
Orocue, CS;Colombia;ORC;
Chicago;USA;ORD;Chicago
Orleans;France;ORE;Orleans
Norfolk;USA;ORF;Norfolk
Zorg en Hoop;Surinam;ORG;Paramaribo
Worcester;USA;ORH;Worcester
Port Lions, AK;USA;ORI;
Orinduik;Guyana;ORJ;
Cork;Ireland;ORK;Cork
Orlando Executive;USA;ORL;Orlando
Northampton;United Kingdom of Great Britain and Northern Ireland;ORM;Northampton
Oran;Algeria;ORN;Oran
Yoro;Honduras;ORO;
Orapa;Botswana;ORP;
Heliport, CT;USA;ORQ;Norwalk
Yorketown, SA;Australia;ORR;
Waterport, Q;Australia;ORS;Orpheus Island Resor
Northway, AK;USA;ORT;
Oruro;Bolivia;ORU;
Curtis Memorial, AK;USA;ORV;Noorvik
Ormara;Pakistan;ORW;
Trombetas, PA;Brazil;ORX;Oriximina
Paris Orly;France;ORY;Paris
Orange Walk;Belize;ORZ;
Osage Beach, MO;USA;OSB;
WURTHSMITH;USA;OSC;OSCODA
Ostersund;Sweden;OSD;Ostersund
Omora;Papua New Guin;OSE;
Ostafyevo International Apt;Russia;OSF;Moscow
Ossima;Papua New Guin;OSG;
Oshkosh;USA;OSH;Oshkosh
Osijek;Croatia;OSI;Osijek
Oskarshamn;Sweden;OSK;Oskarshamn
Oslo;Norway;OSL;Oslo
Mosul;Iraq;OSM;
Ab;Korea (South);OSN;Osan
Redzikowo;Poland;OSP;Slupsk
Ostrava;Czech Republic;OSR;Ostrava
Osh;Kyrgystan;OSS;Osh
Ostende;Belgium;OST;Ostend
Ohio State University, OH;USA;OSU;Columbus
Attala County, MS;USA;OSX;Kosciusko
Namsos;Norway;OSY;
Koszalin;Poland;OSZ;Koszalin
Motta;Ethiopia;OTA;
Bol;Chad;OTC;
Contadora;Panama;OTD;
Municipal, MN;USA;OTG;Worthington
Municipal, OR;USA;OTH;North Bend
Pitu;Indonesia;OTI;Morotai
Otjiwarongo;Namibia;OTJ;
Boutilimit;Mauritania;OTL;
Industrial, IA;USA;OTM;Ottumwa
Green, IN;USA;OTN;Oaktown
Vor, NM;USA;OTO;Otto
Bucharest;Romania;OTP;Bucharest
Coto 47;Costa Rica;OTR;
Anacortes, WA;USA;OTS;
Otu, AN;Colombia;OTU;
Oria;Papua New Guin;OTY;
Ralph Wien Memorial, AK;USA;OTZ;Kotzebue
Ouagadougou;Burkina Faso;OUA;Ouagadougou
Oujda;Morocco;OUD;Oujda
Ouesso;Congo (the);OUE;
Ouahigouya;Burkina Faso;OUG;
Oudtshoorn;South Africa;OUH;
Ban Houei;Laos;OUI;
Outer Skerries;United Kingdom of Great Britain and Northern Ireland;OUK;
Oulu;Finland;OUL;Oulu
Oum Hadjer;Chad;OUM;
Max Westheimer, OK;USA;OUN;Norman
Batouri;Cameroon;OUR;
Ourinhos, SP;Brazil;OUS;
Bousso;Chad;OUT;
Ouanga;Gabon;OUU;
Zoueratt;Mauritania;OUZ;
Bekily;Madagascar;OVA;
Novosibirsk;Russia;OVB;Novosibirsk
Asturias;Spain;OVD;Asturias
Oroville, CA;USA;OVE;
Ovalle Tuqui;Chile;OVL;
Owatonna, MN;USA;OWA;
Davies County, KY;USA;OWB;Owensboro
Memorial, MA;USA;OWD;Norwood
Owendo;Gabon;OWE;
Central Maine, ME;USA;OWK;Norridgewock
Bissau;Guinea Bissau;OXB;Bissau
Waterbury-Oxford, CT;USA;OXC;Oxford
Miami University, OH;USA;OXD;Oxford
London Oxford;United Kingdom of Great Britain and Northern Ireland;OXF;Oxford
Orientos, QL;Australia;OXO;
Oxnard-Ventura, CA;USA;OXR;
Morney, QL;Australia;OXY;
Goya, CR;Argentina;OYA;
Oyem;Gabon;OYE;
Moyo;Uganda;OYG;
Oiapoque, AP;Brazil;OYK;
Moyale;Kenya;OYL;
Ouyen, VI;Australia;OYN;
Tres Arroyos, BA;Argentina;OYO;
Saint-Georges-de-l'Oyapock;French Guyana;OYP;
Yosemite National Park, CA;USA;OYS;
Ozona, TX;USA;OZA;
Ozamis, MT;Philippines;OZC;
Zaporizhia Int'l;Ukraine;OZH;Zaporizhia
Moron;Spain;OZP;Sevilla
Cairns AAF, AL;USA;OZR;Ozark
Ouarzazate;Morocco;OZZ;Ouarzazate
Pa-An;Myanmar;PAA;
Bilaspur;India;PAB;
Paitilla-Marcos;Panama;PAC;Panama City-Balboa
Paderborn;Germany;PAD;Paderborn
Everett;USA;PAE;Everett
Pakuba;Uganda;PAF;
Pagadian, ZS;Philippines;PAG;
Paducah;USA;PAH;Paducah
Pailin;Kampuchea;PAI;
Parachinar;Pakistan;PAJ;
Port Allen, Kauai Island,;USA;PAK;Hanapepe
Palanquero, CN;Colombia;PAL;
Panama City;USA;PAM;Panama City
Pattani;Thailand;PAN;
Palo Alto, CA;USA;PAO;
Port Au Prince;Haiti;PAP;Port Au Prince
Municipal, AK;USA;PAQ;Palmer
Paris;France;PAR;Parijs
Paros;Greece;PAS;Paros
Patna;India;PAT;
Pauk;Myanmar;PAU;
Paulo Afonso, BA;Brazil;PAV;
Pambwa;Papua New Guin;PAW;
Port-de-Paix;Haiti;PAX;
PAMOL;Malaysia;PAY;Pamol
Tajin;Mexico;PAZ;Poza Rica
Point Barrow, AK;USA;PBA;Barrow
Paranaiba, MS;Brazil;PBB;
Huejotsingo;Mexico;PBC;Puebla
Porbandar;India;PBD;
Puerto Berrio, AN;Colombia;PBE;
Grider Field, AR;USA;PBF;Pine Bluff
Plattsburgh AFB, NY;USA;PBG;Plattsburg
PARO;Bhutan;PBH;Paro
West Palm Beach;USA;PBI;West Palm Beach
Tavie;Vanuatu;PBJ;Paama
Pack Creek, AK;USA;PBK;
Bartolome Salom Int;Venezuela;PBL;Puerto Cabello
Paramaribo;Surinam;PBM;Paramaribo
Porto Amboim;Angola;PBN;
Paraburdoo, WA;Australia;PBO;
Punta Islita;Costa Rica;PBP;
Pimenta Bueno, RO;Brazil;PBQ;
Puerto Barrios;Guatemala;PBR;
Patong Beach;Thailand;PBS;
Putao;Myanmar;PBU;
Porto dos Gauchos, MT;Brazil;PBV;
Palibelo;Indonesia;PBW;
Porto Allegre do Norte, MT;Brazil;PBX;
Plettenberg Bay;South Africa;PBZ;
Portage Creek, AK;USA;PCA;
Pondok Cabe;Indonesia;PCB;
Puerto Rico;Colombia;PCC;
Municipal, WI;USA;PCD;Prairie du Chien
Painter Creek, AK;USA;PCE;
Paso Caballos;Guatemala;PCG;Paso Caballos
Palacios;Honduras;PCH;
Porcupine Creek, AK;USA;PCK;
Capitan Rolden;Peru;PCL;Pucallpa
Playa del Carmen;Mexico;PCM;
Koromiko;New Zealand;PCN;Picton
Punta Colorado;Mexico;PCO;
Principe;Sao Tome and P;PCP;
Puerto Carreno, VI;Colombia;PCR;
Picos, PI;Brazil;PCS;
Princeton, NJ;USA;PCT;
Pearl River County, MS;USA;PCU;Picayune
Punta Chivato;Mexico;PCV;
Puerto Inirida;Colombia;PDA;
Pedro Bay, AK;USA;PDB;
Nickel;New Caledonia;PDC;Mueo
Pandie Pandie, SA;Australia;PDE;
Prado, BA;Brazil;PDF;
Padang;Indonesia;PDG;Padang
Pindiu;Papua New Guin;PDI;
De Kalb-Peachtree, GA;USA;PDK;Atlanta
Ponta Delgada;Portugal;PDL;Ponta Delgada
Parndana, SA;Australia;PDN;
Pendope;Indonesia;PDO;
Punta Del Este;Uruguay;PDP;Punta Del Este
Municipal, MA;Brazil;PDR;Presidente Dutra
Int'l;Mexico;PDS;Piedras Negras
Municipal, OR;USA;PDT;Pendleton
Tydeo Larre Borges Int'l;Uruguay;PDU;Paysandu
Plovdiv;Bulgaria;PDV;Plovdiv
Portland;USA;PDX;Portland
Pedernales;Venezuela;PDZ;
Penneshaw, SA;Australia;PEA;
Pebane;Mozambique;PEB;
SPB, AK;USA;PEC;Pelican
Pardubice;Czech Republic;PED;Pardubice
PERM;Russia;PEE;PERM
Peenemunde;Germany;PEF;
Perugia;Italy;PEG;Perugia
Comodoro P.Zanni, BA;Argentina;PEH;Pehuojo
Matecania, RI;Colombia;PEI;Pereira
Beijing;China;PEK;Beijing
Pelaneng;Lesotho;PEL;
Padre Aldamiz;Peru;PEM;Puerto Maldonado
Penang;Malaysia;PEN;Penang
Peppimenarti, NT;Australia;PEP;
Pecos City, TX;USA;PEQ;
Perth;Australia;PER;Perth
Petrozavodsk;Russia (CIS);PES;
Bartolomeu de Gusmao Int'l;Brazil;PET;Pelotas
Puerto Lempira;Honduras;PEU;
P�cs-Pog�ny Int.Airp;;PEV;Pog�ny
PESHAWAR;Pakistan;PEW;Peshawar
Pechora;Russia (CIS);PEX;
Penong, SA;Australia;PEY;
Penza;Russia (CIS);PEZ;
Paf Warren, AK;USA;PFA;
Lauro Kurtz, RS;Brazil;PFB;Passo Fundo
State, OR;USA;PFC;Pacific City
Port Frederick, AK;USA;PFD;
Patreksfjordur;Iceland;PFJ;
Bay County, FL;USA;PFN;Panama City
Paphos;Cyprus;PFO;Paphos
Ilebo;Congo (the Democratic Republic of the);PFR;
Page, AZ;USA;PGA;
Pangoa;Papua New Guin;PGB;
Grant County, WV;USA;PGC;Petersburg
Charlotte County, FL;USA;PGD;Punta Gorda
Yegepa;Papua New Guin;PGE;
Perpignan;France;PGF;Perpignan
Progresso, PA;Brazil;PGG;
Pantnagar;India;PGH;
Chitato;Angola;PGI;
Pangkal Pinang;Indonesia;PGK;
Jackson County, MS;USA;PGL;Pascagoula
Port Graham, AK;USA;PGM;
Pangia;Papua New Guin;PGN;
Stevens Field, CO;USA;PGO;Pagosa Springs
Porto Alegre;Sao Tome and P;PGP;
Municipal, AR;USA;PGR;Paragould
Peach Springs, AZ;USA;PGS;
Greenville;USA;PGV;Greenville
PERIGUEUX;France;PGX;Perigueux
Ponta Grossa, PR;Brazil;PGZ;
Phan Rang;Vietnam;PHA;
Santos Dumont, PI;Brazil;PHB;Parnaiba
Portharcourt;Nigeria;PHC;Port Harcourt
Harry Clever, OH;USA;PHD;New Philadelphia
Port Hedland, WA;Australia;PHE;
Newport News;USA;PHF;Newport News
Phanthiet;Vietnam;PHH;
Pinheiro, MA;Brazil;PHI;
Port Hunter, NS;Australia;PHJ;
Palm Beach County Glades,;USA;PHK;Pahokee
Philadelphia;USA;PHL;Philadelphia
B�blingen;Germany;PHM;
Saint Clair County Int';USA;PHN;Port Huron
Point Hope, AK;USA;PHO;
Philip, SD;USA;PHP;
Pacific Harbour;Fiji;PHR;Deumba
Sarit Sena;Thailand;PHS;Phitsanulok
